  Linearize ENDF/B Cross Sections (LINEAR 2019-1)
  ------------------------------------------------------------------------------
  Retrieval Criteria-----------        MAT
  Monitor Mode-----------------        Off
  Minimum Cross Section-------- 1.0000E-10
  Keep Evaluated Data Points---        Yes
  ------------------------------------------------------------------------------
  ENDF/B Input and Output Data Filenames
  LINEAR.IN                                                               
  LINEAR.OUT                                                              
  ------------------------------------------------------------------------------
  Requested Ranges
  ------------------------------------------------------------------------------
       Minimum       Maximum   
     MAT MF  MT    MAT MF  MT
  ------------------------------------------------------------------------------
       0  0   0 999999 99 999
  ------------------------------------------------------------------------------
  Allowable Uncertainty
  ------------------------------------------------------------------------------
      Energy Uncertainty   per-cent
  ------------------------------------------------------------------------------
  0.0         1.0000E-10     0.0000
  ------------------------------------------------------------------------------
  ENDF/B Tape Label
  ------------------------------------------------------------------------------
   EMPEND Processing file : rh103-g.out                                1
  ------------------------------------------------------------------------------
    Material  MAT  MF  MT  ENDF/B      Kelvin     Q-Value   Points   Points
                           Format                      eV       In      Out
  ------------------------------------------------------------------------------
   45-Rh-103 4525   3   1   VI     0.0         0.0             194      194
   45-Rh-103 4525   3   4   VI     0.0        -9318430.00      148      148
   45-Rh-103 4525   3   5   VI     0.0        -2834000.00      194      194
   45-Rh-103 4525   3  11   VI     0.0        -23426370.0       45       45
   45-Rh-103 4525   3  16   VI     0.0        -16756000.0       71       71
   45-Rh-103 4525   3  17   VI     0.0        -26646000.0       35       35
   45-Rh-103 4525   3  22   VI     0.0        -12090000.0       95       95
   45-Rh-103 4525   3  28   VI     0.0        -15432000.0       79       79
   45-Rh-103 4525   3  32   VI     0.0        -20010000.0       56       56
   45-Rh-103 4525   3  33   VI     0.0        -23426000.0       46       46
   45-Rh-103 4525   3  34   VI     0.0        -23701000.0       43       43
   45-Rh-103 4525   3  41   VI     0.0        -22234000.0       51       51
   45-Rh-103 4525   3  42   VI     0.0        -31907000.0       27       27
   45-Rh-103 4525   3  44   VI     0.0        -24655000.0       40       40
   45-Rh-103 4525   3  50   VI     0.0        -9318430.00      148      148
   45-Rh-103 4525   3  51   VI     0.0        -9360370.00      147      147
   45-Rh-103 4525   3  52   VI     0.0        -9394430.00      146      146
   45-Rh-103 4525   3  53   VI     0.0        -9423646.00      145      145
   45-Rh-103 4525   3  54   VI     0.0        -9442181.00      144      144
   45-Rh-103 4525   3  55   VI     0.0        -9459160.00      143      143
   45-Rh-103 4525   3  56   VI     0.0        -9472890.00      142      142
   45-Rh-103 4525   3  57   VI     0.0        -9474924.00      141      141
   45-Rh-103 4525   3  58   VI     0.0        -9497110.00      140      140
   45-Rh-103 4525   3  59   VI     0.0        -9525305.00      138      138
   45-Rh-103 4525   3  60   VI     0.0        -9527170.00      137      137
   45-Rh-103 4525   3  61   VI     0.0        -9560700.00      136      136
   45-Rh-103 4525   3  62   VI     0.0        -9578000.00      135      135
   45-Rh-103 4525   3  63   VI     0.0        -9582270.00      134      134
   45-Rh-103 4525   3  64   VI     0.0        -9609970.00      133      133
   45-Rh-103 4525   3  65   VI     0.0        -9615720.00      132      132
   45-Rh-103 4525   3  66   VI     0.0        -9620650.00      131      131
   45-Rh-103 4525   3  67   VI     0.0        -9624320.00      129      129
   45-Rh-103 4525   3  68   VI     0.0        -9664200.00      128      128
   45-Rh-103 4525   3  69   VI     0.0        -9677530.00      127      127
   45-Rh-103 4525   3  70   VI     0.0        -9678040.00      126      126
   45-Rh-103 4525   3  71   VI     0.0        -9683230.00      125      125
   45-Rh-103 4525   3  72   VI     0.0        -9697040.00      124      124
   45-Rh-103 4525   3  73   VI     0.0        -9698430.00      123      123
   45-Rh-103 4525   3  74   VI     0.0        -9717820.00      122      122
   45-Rh-103 4525   3  75   VI     0.0        -9728340.00      121      121
   45-Rh-103 4525   3  76   VI     0.0        -9745950.00      120      120
   45-Rh-103 4525   3  77   VI     0.0        -9749910.00      119      119
   45-Rh-103 4525   3  78   VI     0.0        -9767790.00      117      117
   45-Rh-103 4525   3  79   VI     0.0        -9769030.00      116      116
   45-Rh-103 4525   3  80   VI     0.0        -9792770.00      115      115
   45-Rh-103 4525   3  81   VI     0.0        -9795280.00      114      114
   45-Rh-103 4525   3  82   VI     0.0        -9809430.00      113      113
   45-Rh-103 4525   3  83   VI     0.0        -9843530.00      112      112
   45-Rh-103 4525   3  84   VI     0.0        -9860570.00      111      111
   45-Rh-103 4525   3  85   VI     0.0        -9861980.00      110      110
   45-Rh-103 4525   3  86   VI     0.0        -9864320.00      109      109
   45-Rh-103 4525   3  87   VI     0.0        -9888080.00      108      108
   45-Rh-103 4525   3  88   VI     0.0        -9894360.00      107      107
   45-Rh-103 4525   3  89   VI     0.0        -9917370.00      105      105
   45-Rh-103 4525   3  91   VI     0.0        -9916940.00      106      106
   45-Rh-103 4525   3 102   VI     0.0         0.0             194      194
   45-Rh-103 4525   3 104   VI     0.0        -13208000.0       90       90
   45-Rh-103 4525   3 105   VI     0.0        -13753000.0       86       86
   45-Rh-103 4525   3 106   VI     0.0        -16937000.0       70       70
   45-Rh-103 4525   3 111   VI     0.0        -16264000.0       74       74
   45-Rh-103 4525   3 112   VI     0.0        -9624000.00      130      130
   45-Rh-103 4525   3 115   VI     0.0        -22431000.0       50       50
   45-Rh-103 4525   3 116   VI     0.0        -22938000.0       48       48
   45-Rh-103 4525   3 600   VI     0.0        -6213030.00      189      189
   45-Rh-103 4525   3 601   VI     0.0        -6688126.00      186      186
   45-Rh-103 4525   3 602   VI     0.0        -7156720.00      183      183
   45-Rh-103 4525   3 603   VI     0.0        -7316077.00      181      181
   45-Rh-103 4525   3 604   VI     0.0        -7319460.00      180      180
   45-Rh-103 4525   3 605   VI     0.0        -7734630.00      178      178
   45-Rh-103 4525   3 606   VI     0.0        -7793590.00      176      176
   45-Rh-103 4525   3 607   VI     0.0        -7816400.00      175      175
   45-Rh-103 4525   3 608   VI     0.0        -8012110.00      173      173
   45-Rh-103 4525   3 609   VI     0.0        -8050280.00      172      172
   45-Rh-103 4525   3 610   VI     0.0        -8086280.00      171      171
   45-Rh-103 4525   3 611   VI     0.0        -8181040.00      170      170
   45-Rh-103 4525   3 612   VI     0.0        -8249760.00      169      169
   45-Rh-103 4525   3 613   VI     0.0        -8256423.00      167      167
   45-Rh-103 4525   3 614   VI     0.0        -8365770.00      166      166
   45-Rh-103 4525   3 615   VI     0.0        -8403030.00      165      165
   45-Rh-103 4525   3 616   VI     0.0        -8432060.00      164      164
   45-Rh-103 4525   3 617   VI     0.0        -8453810.00      163      163
   45-Rh-103 4525   3 618   VI     0.0        -8474120.00      162      162
   45-Rh-103 4525   3 619   VI     0.0        -8515730.00      160      160
   45-Rh-103 4525   3 620   VI     0.0        -8580330.00      159      159
   45-Rh-103 4525   3 621   VI     0.0        -8586080.00      158      158
   45-Rh-103 4525   3 622   VI     0.0        -8598730.00      157      157
   45-Rh-103 4525   3 623   VI     0.0        -8633030.00      156      156
   45-Rh-103 4525   3 624   VI     0.0        -8654830.00      155      155
   45-Rh-103 4525   3 625   VI     0.0        -8673030.00      154      154
   45-Rh-103 4525   3 626   VI     0.0        -8680419.00      152      152
   45-Rh-103 4525   3 649   VI     0.0        -8680389.00      153      153
   45-Rh-103 4525   3 800   VI     0.0        -3123930.00      194      194
   45-Rh-103 4525   3 801   VI     0.0        -3264441.00      194      194
   45-Rh-103 4525   3 802   VI     0.0        -3266613.00      194      194
   45-Rh-103 4525   3 803   VI     0.0        -3305024.00      194      194
   45-Rh-103 4525   3 804   VI     0.0        -3633026.00      194      194
   45-Rh-103 4525   3 805   VI     0.0        -3658360.00      194      194
   45-Rh-103 4525   3 806   VI     0.0        -3660820.00      194      194
   45-Rh-103 4525   3 807   VI     0.0        -3736300.00      194      194
   45-Rh-103 4525   3 808   VI     0.0        -3749460.00      194      194
   45-Rh-103 4525   3 809   VI     0.0        -3776700.00      194      194
   45-Rh-103 4525   3 810   VI     0.0        -3795408.00      194      194
   45-Rh-103 4525   3 811   VI     0.0        -3843340.00      194      194
   45-Rh-103 4525   3 812   VI     0.0        -3850700.00      194      194
   45-Rh-103 4525   3 813   VI     0.0        -3863143.00      194      194
   45-Rh-103 4525   3 814   VI     0.0        -3885711.00      194      194
   45-Rh-103 4525   3 815   VI     0.0        -3885880.00      194      194
   45-Rh-103 4525   3 816   VI     0.0        -4008189.00      194      194
   45-Rh-103 4525   3 817   VI     0.0        -4044509.00      194      194
   45-Rh-103 4525   3 818   VI     0.0        -4110100.00      194      194
   45-Rh-103 4525   3 819   VI     0.0        -4127998.00      194      194
   45-Rh-103 4525   3 820   VI     0.0        -4141390.00      194      194
   45-Rh-103 4525   3 821   VI     0.0        -4143690.00      194      194
   45-Rh-103 4525   3 822   VI     0.0        -4196160.00      194      194
   45-Rh-103 4525   3 823   VI     0.0        -4205390.00      194      194
   45-Rh-103 4525   3 824   VI     0.0        -4251330.00      194      194
   45-Rh-103 4525   3 825   VI     0.0        -4253035.00      194      194
   45-Rh-103 4525   3 826   VI     0.0        -4258970.00      194      194
   45-Rh-103 4525   3 827   VI     0.0        -4265784.00      194      194
   45-Rh-103 4525   3 828   VI     0.0        -4273360.00      194      194
   45-Rh-103 4525   3 829   VI     0.0        -4295980.00      194      194
   45-Rh-103 4525   3 830   VI     0.0        -4300410.00      194      194
   45-Rh-103 4525   3 831   VI     0.0        -4322820.00      194      194
   45-Rh-103 4525   3 832   VI     0.0        -4327390.00      194      194
   45-Rh-103 4525   3 833   VI     0.0        -4328930.00      194      194
   45-Rh-103 4525   3 834   VI     0.0        -4331190.00      194      194
   45-Rh-103 4525   3 835   VI     0.0        -4367710.00      194      194
   45-Rh-103 4525   3 836   VI     0.0        -4392620.00      194      194
   45-Rh-103 4525   3 837   VI     0.0        -4430210.00      194      194
   45-Rh-103 4525   3 838   VI     0.0        -4433040.00      194      194
   45-Rh-103 4525   3 839   VI     0.0        -4444660.00      194      194
   45-Rh-103 4525   3 849   VI     0.0        -4444730.00      194      194
   45-Rh-103 4525  10   4   VI                                  90       90
   45-Rh-103 4525  10   4   VI                                  90       90
   45-Rh-103 4525  10   5   VI                                   6        6
   45-Rh-103 4525  10   5   VI                                   6        6
   45-Rh-103 4525  10   5   VI                                   7        7
   45-Rh-103 4525  10   5   VI                                   8        8
